english,kana,kanji
book,ほん,本
bed,ベッド,ベッド
birthday,たんじょうび,誕生日
watch / clock,とけい,時計
name,なまえ,名前
beautiful,きれい,綺麗
black,くろい,黒い
white,しろい,白い
English,えいご,英語
university,だいがく,大学
telephone,けいたい,携帯
bus,バス,バス
cat,ねこ,猫
dog,いぬ,犬
computer,パソコン,パソコン
clothes,ふく,服
coffee,コーヒー,コーヒー
bread,パン,パン
beer,ビール,ビール
lunch,ひるごはん,昼ご飯
dinner,よるごはん,夜ご飯
food,たべもの,食べ物
beverage,のみもの,飲み物
fruit,くだもの,果物
boy,おとこのこ,男の子
girl,おんなのこ,女の子
child,こども,子供
mother,はは,母
father,ちち,父
friend,ともだち,友達
student,がくせい,学生
teacher,せんせい,先生
river,かわ,川
flower,はな,花
fish,さかな,魚
sky,そら,空
mountain,やま,山
rain,あめ,雨
now,いま,今
today,きょう,今日
yesterday,きのう,昨日
tomorrow,あした,明日
every day,まいにち,毎日
every week,まいしゅう,毎週
afternoon,ごご,午後
morning,ごぜん,午前
monday,げつようび,月曜日
tuesday,かようび,火曜日
wednesday,すいようび,水曜日
thursday,もくようび,木曜日
friday,きんようび,金曜日
saturday,どようび,土曜日
sunday,にちようび,日曜日
this year,ことし,今年
ear,みみ,耳
hand,て,手
foot,あし,足
eye,め,目
mouth,くち,口
face,かお,顔
train station,えき,駅前
north,きた,北
south,みなみ,南
east,ひがし,東
west,にし,西
foreign,かいこく,外国
right,みぎ,右
left,ひだり,左
entrance,いりぐち,入口
exit,でぐち,出口
good morning,おはよう,おはよう
hello,こんにちは,こんにちは
good evening,こんばんは,こんばんは
im home,ただいま,ただいま
good night,おやすみ,おやすみ
hello? (phone),もしもし,もしもし
how are you?,おげんきですか,おげんきですか
long time to see,ひさしぶり,ひさしぶり
goodbye,さようなら,さようなら
see you later,またね,またね
yes,はい,はい
no,いいえ,いいえ
i dont understand,わかりません,わかりません
i forgot,わすれました,わすれました
i dont know,しりません,しりません
maybe,たぶん,たぶん
alright / no thank you,だいじょうぶ,だいじょうぶ
nice to meet you,よろしくおねがいします,よろしくおねがいします
thanks,ありがとう,ありがとう
please,おねがいします,おねがいします
excuse me,すみません,すみません
im sorry,ごめんなさい,ごめんなさい
you're welcome,どういたしまして,どういたしまして
small,ちいさい,小さい
vegetable,やさい,野菜
water,みず,水
big,おおきい,大きい
juice,ジュース,ジュース
bad,わるい,悪い
good,いい,いい